No;Provinsi;Tahun;Wilayah;Satuan;Fisik;Psikis;Seksual;Eksploitasi;TPPO;Penelantaran;Lainnya;Jumlah Kasus (Kasus);Jumlah Korban (Orang)
277;Jawa Timur;2024;KABUPATEN SIDOARJO;Orang;38;64;14;1;0;12;11;78;81
278;Jawa Timur;2024;KABUPATEN MOJOKERTO;Orang;4;0;3;0;0;1;2;9;9
279;Jawa Timur;2024;KABUPATEN JOMBANG;Orang;34;11;16;0;0;27;13;90;90
280;Jawa Timur;2024;KABUPATEN NGANJUK;Orang;3;1;0;0;0;2;1;4;4
281;Jawa Timur;2024;KABUPATEN MADIUN;Orang;5;0;1;0;0;0;1;7;7
282;Jawa Timur;2024;KABUPATEN MAGETAN;Orang;9;5;5;0;0;2;4;18;19
283;Jawa Timur;2024;KABUPATEN NGAWI;Orang;4;0;2;0;0;1;3;10;10
284;Jawa Timur;2024;KABUPATEN BOJONEGORO;Orang;6;5;5;0;0;4;2;18;18
285;Jawa Timur;2024;KABUPATEN TUBAN;Orang;2;2;0;0;0;0;0;4;4
286;Jawa Timur;2024;KABUPATEN LAMONGAN;Orang;0;0;0;0;0;0;0;0;0
287;Jawa Timur;2024;KABUPATEN GRESIK;Orang;76;18;9;0;0;6;1;96;98
288;Jawa Timur;2024;KABUPATEN BANGKALAN;Orang;11;3;9;1;0;0;1;23;24
289;Jawa Timur;2024;KABUPATEN SAMPANG;Orang;6;0;3;0;0;0;0;8;8
290;Jawa Timur;2024;KABUPATEN PAMEKASAN;Orang;9;1;3;0;0;2;1;16;16
291;Jawa Timur;2024;KABUPATEN SUMENEP;Orang;15;17;2;0;0;3;7;18;18
292;Jawa Timur;2024;KOTA KEDIRI;Orang;6;6;0;0;0;0;1;13;13
293;Jawa Timur;2024;KOTA BLITAR;Orang;0;1;1;0;0;1;4;7;7
294;Jawa Timur;2024;KOTA MALANG;Orang;18;13;5;0;12;3;3;54;54
295;Jawa Timur;2024;KOTA PROBOLINGGO;Orang;10;9;5;0;0;3;0;22;22
296;Jawa Timur;2024;KOTA PASURUAN;Orang;2;3;2;0;0;0;0;5;5
297;Jawa Timur;2024;KOTA MOJOKERTO;Orang;1;1;1;0;0;0;0;2;2
298;Jawa Timur;2024;KOTA MADIUN;Orang;7;2;0;0;0;0;0;7;7
299;Jawa Timur;2024;KOTA SURABAYA;Orang;43;28;20;2;1;14;11;116;116
300;Jawa Timur;2024;KOTA BATU;Orang;4;10;2;1;0;5;0;11;11
