No;Provinsi;Tahun;Wilayah;Satuan;Fisik;Psikis;Seksual;Eksploitasi;TPPO;Penelantaran;Lainnya;Jumlah Kasus (Kasus);Jumlah Korban (Orang)
55;Jawa Barat;2022;KOTA SUKABUMI;Orang;4;3;3;2;0;0;3;12;14
56;Jawa Barat;2022;KOTA BANDUNG;Orang;96;166;49;3;0;54;40;246;248
57;Jawa Barat;2022;KOTA CIREBON;Orang;0;1;0;0;0;0;0;1;1
58;Jawa Barat;2022;KOTA BEKASI;Orang;2;1;1;0;0;0;0;3;3
59;Jawa Barat;2022;KOTA DEPOK;Orang;34;51;14;0;0;8;9;110;110
60;Jawa Barat;2022;KOTA CIMAHI;Orang;5;9;1;1;0;9;6;25;25
61;Jawa Barat;2022;KOTA TASIKMALAYA;Orang;0;0;0;0;0;0;0;0;0
62;Jawa Barat;2022;KOTA BANJAR;Orang;0;0;0;0;0;0;0;0;0
63;Jawa Timur;2022;KABUPATEN PACITAN;Orang;0;0;0;0;0;0;0;0;0
64;Jawa Timur;2022;KABUPATEN PONOROGO;Orang;5;7;2;0;0;5;1;19;19
65;Jawa Timur;2022;KABUPATEN TRENGGALEK;Orang;3;3;4;0;0;4;1;12;12
66;Jawa Timur;2022;KABUPATEN TULUNGAGUNG;Orang;17;7;9;1;1;2;0;29;29
67;Jawa Timur;2022;KABUPATEN BLITAR;Orang;7;15;3;0;0;2;5;25;25
68;Jawa Timur;2022;KABUPATEN KEDIRI;Orang;33;1;2;0;0;0;1;35;36
69;Jawa Timur;2022;KABUPATEN MALANG;Orang;8;20;13;0;0;4;15;44;45
70;Jawa Timur;2022;KABUPATEN LUMAJANG;Orang;9;6;3;0;0;1;1;16;16
71;Jawa Timur;2022;KABUPATEN JEMBER;Orang;17;83;37;0;0;8;2;76;84
72;Jawa Timur;2022;KABUPATEN BANYUWANGI;Orang;14;7;7;0;0;4;1;31;32
73;Jawa Timur;2022;KABUPATEN BONDOWOSO;Orang;13;0;9;1;0;11;0;33;33
74;Jawa Timur;2022;KABUPATEN SITUBONDO;Orang;28;12;9;0;0;3;0;38;38
75;Jawa Timur;2022;KABUPATEN PROBOLINGGO;Orang;37;37;3;0;0;0;0;37;37
76;Jawa Timur;2022;KABUPATEN PASURUAN;Orang;9;5;7;0;0;8;0;28;28
77;Jawa Timur;2022;KABUPATEN SIDOARJO;Orang;34;70;11;0;0;32;8;94;95
78;Jawa Timur;2022;KABUPATEN MOJOKERTO;Orang;6;10;2;0;1;2;1;22;22
79;Jawa Timur;2022;KABUPATEN JOMBANG;Orang;8;6;8;0;0;3;1;19;21
80;Jawa Timur;2022;KABUPATEN NGANJUK;Orang;2;10;2;0;0;1;0;15;15
81;Jawa Timur;2022;KABUPATEN MADIUN;Orang;0;0;4;0;0;0;2;6;6
82;Jawa Timur;2022;KABUPATEN MAGETAN;Orang;6;9;6;0;0;6;0;17;17
83;Jawa Timur;2022;KABUPATEN NGAWI;Orang;1;5;5;0;0;0;2;11;12
84;Jawa Timur;2022;KABUPATEN BOJONEGORO;Orang;1;3;0;0;0;2;0;5;5
85;Jawa Timur;2022;KABUPATEN TUBAN;Orang;29;20;4;0;0;4;0;44;44
86;Jawa Timur;2022;KABUPATEN LAMONGAN;Orang;30;11;5;0;0;5;1;45;45
87;Jawa Timur;2022;KABUPATEN GRESIK;Orang;17;23;4;2;0;2;2;35;36
88;Jawa Timur;2022;KABUPATEN BANGKALAN;Orang;13;9;3;0;0;1;1;19;19
89;Jawa Timur;2022;KABUPATEN SAMPANG;Orang;6;0;2;0;0;0;3;9;11
90;Jawa Timur;2022;KABUPATEN PAMEKASAN;Orang;24;1;0;0;0;8;1;33;33
91;Jawa Timur;2022;KABUPATEN SUMENEP;Orang;18;18;2;0;0;8;2;24;24
92;Jawa Timur;2022;KOTA KEDIRI;Orang;0;1;2;0;0;0;0;3;3
93;Jawa Timur;2022;KOTA BLITAR;Orang;6;12;0;0;0;3;8;19;19
94;Jawa Timur;2022;KOTA MALANG;Orang;9;11;5;1;0;1;2;26;26
95;Jawa Timur;2022;KOTA PROBOLINGGO;Orang;11;7;0;0;0;3;2;20;20
96;Jawa Timur;2022;KOTA PASURUAN;Orang;11;11;0;0;0;0;0;11;11
97;Jawa Timur;2022;KOTA MOJOKERTO;Orang;9;2;2;0;1;0;1;13;13
98;Jawa Timur;2022;KOTA MADIUN;Orang;1;1;1;0;0;3;1;7;7
99;Jawa Timur;2022;KOTA SURABAYA;Orang;20;13;10;0;0;6;1;43;43
100;Jawa Timur;2022;KOTA BATU;Orang;1;1;2;0;0;2;0;5;5
101;Jawa Tengah;2023;KABUPATEN CILACAP;Orang;8;8;11;0;0;0;0;20;23
102;Jawa Tengah;2023;KABUPATEN BANYUMAS;Orang;22;19;11;1;5;5;7;53;57
